timepoint,channel,mean_intensity,median_intensity,max_intensity,std_intensity,nonzero_pixels
78,2,955.3494793574015,1203.0,9160,569.4904149906229,4718592
79,0,607.725530465444,728.0,15688,398.5836566032285,4718592
79,1,1633.6949453353882,2173.0,17188,943.3660428167542,4718592
79,2,955.9332356452942,1203.0,7598,569.9782568129293,4718592
80,0,607.4307036399841,728.0,11169,397.35099778160264,4718592
80,1,1633.761927286784,2173.0,6496,943.3851019657624,4718592
80,2,955.5061159133911,1203.0,9078,569.4743312179421,4718592
81,0,607.2822887102762,728.0,15688,397.9593171161432,4718592
81,1,1633.6324694951375,2173.0,15966,943.3429209511035,4718592
81,2,955.4919163386027,1203.0,12026,569.5810433679447,4718592
82,0,607.4262348810831,728.0,15688,397.85079749661054,4718592
82,1,1634.1119322776794,2174.0,17188,943.6035493275979,4718592
82,2,955.3376938501993,1203.0,8657,569.5079047168812,4718592
83,0,606.9607203801473,728.0,15688,397.28039838209753,4718592
83,1,1634.1642044385273,2174.0,17188,943.6614179863187,4718592
83,2,955.2742732365926,1203.0,9538,569.3912543181195,4718592
84,0,606.9297676086426,728.0,15688,397.0949083847736,4718592
84,1,1634.5617984135945,2175.0,17188,943.8759826913574,4718592
84,2,955.1205954551697,1203.0,6968,569.114590476076,4718592
85,0,606.8376801808676,728.0,15688,396.73321765531995,4718592
85,1,1634.7645324071248,2175.0,17188,944.0333822422837,4718592
85,2,954.8518013954163,1203.0,12498,568.8657446411089,4718592
86,0,605.9143231709799,727.0,15688,395.3767093242897,4718592
86,1,1635.4210562705994,2176.0,9942,944.3413597555568,4718592
86,2,954.3888489405314,1203.0,8537,568.4091166096372,4718592
87,0,605.9798711140951,727.0,15688,395.8515872889444,4718592
87,1,1635.6398577690125,2176.0,7260,944.4635310997107,4718592
87,2,954.3430112202963,1203.0,6872,568.2997259143921,4718592
88,0,605.6885514259338,727.0,10546,394.32174490233666,4718592
88,1,1635.656990845998,2176.0,6729,944.461493082782,4718592
88,2,954.8661262194315,1204.0,8669,568.7277088805466,4718592
89,0,605.3847618103027,727.0,15688,394.50395809972605,4718487
89,1,1635.9475808143616,2176.0,17188,944.7135341432136,4718592
89,2,953.6329846382141,1203.0,7968,567.528768307975,4718592
90,0,605.5681953430176,728.0,15206,393.8557443678665,4718592
90,1,1636.3362681070964,2177.0,10560,944.8668278695831,4718592
90,2,954.5237785975138,1204.0,7515,568.2579578766989,4718592
91,0,605.1873828570048,728.0,11052,394.08772534765376,4718592
91,1,1636.3198823928833,2177.0,7820,944.8541466188944,4718592
91,2,954.2036732037863,1203.0,16188,568.2010359870176,4718592
92,0,605.1730200449625,728.0,11528,394.40144541627734,4718592
92,1,1636.2903868357341,2177.0,8152,944.8298311329013,4718592
92,2,954.1058499018351,1203.0,10139,567.9646848169839,4718592
93,0,605.0597950617472,728.0,15688,395.59633193064417,4718592
93,1,1636.3318758010864,2177.0,17188,944.9455482054973,4718592
93,2,953.9611738522848,1204.0,8474,567.8854338015828,4718592
94,0,604.5761904716492,727.0,15688,394.51423720098904,4718592
94,1,1635.9416426022847,2176.0,17188,944.6861224413497,4718592
94,2,953.4784876505533,1203.0,9416,567.4232350067576,4718592
95,0,604.0913108189901,727.0,15688,393.29592859990424,4718592
95,1,1636.3774205843608,2177.0,14653,944.9180194056355,4718592
95,2,954.0184887250265,1204.0,9126,567.6912043108606,4718592
96,0,604.431123415629,727.0,15688,393.7015266399505,4718592
96,1,1636.6077664693196,2177.0,14548,945.0619024309676,4718592
96,2,953.884827931722,1204.0,8238,567.6820470804753,4718592
97,0,604.5664450327555,728.0,15688,393.7146938233391,4718592
97,1,1636.5822110176086,2177.0,17188,945.0472902641284,4718592
